NODE,SUB_NODE,term,description,term_source,source_ref,  source_url,knowledge_links_URL,knowledge_links_Label,Synonyme,Synonyme_2
Unit,,milligray,mGy,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000142,https://en.wikipedia.org/wiki/Gray_(unit),Wikipedia,,
Unit,,watt per square meter,W/m2,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000155,,,,
Unit,,parts per thousand,ppth,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000168,https://en.wikipedia.org/wiki/Parts-per_notation,Wikipedia,,
Unit,,kilodalton,kDa,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000222,https://en.wikipedia.org/wiki/Dalton_(unit),Wikipedia,,
Unit,,megabyte,MB,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000235,https://en.wikipedia.org/wiki/Megabyte,Wikipedia,,
Unit,,micromolal,µmol/kg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000070,,,,
Unit,,kilovolt,kV,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000248,https://en.wikipedia.org/wiki/Volt,Wikipedia,,
Unit,,kilogram per cubic meter,kg/m3,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000083,https://en.wikipedia.org/wiki/Kilogram_per_cubic_metre,Wikipedia,,
Unit,,meter,m,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000008,https://en.wikipedia.org/wiki/Metre,Wikipedia,,
Unit,,cubic meter,m3,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000096,https://en.wikipedia.org/wiki/Cubic_metre,Wikipedia,,
Unit,,nanosecond,ns,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000150,https://en.wikipedia.org/wiki/Nanosecond,Wikipedia,,
Unit,,kilobasepair,kbp,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000328,,,,
Unit,,mass percentage,w/w,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000163,,,,
Unit,,milligram per milliliter,mg/ml,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000176,,,,
Unit,,count unit,count,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000189,,,,
Unit,,kilovolt-hour,kVh,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000230,,,,
Unit,,pixels per millimeter,p/mm,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000243,,,,
Unit,,kilogram meter per second,kg.m/s,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000091,,,,
Unit,,absorbance unit,AU,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000269,,,,
Unit,,millimeter,mm,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000016,https://en.wikipedia.org/wiki/Millimetre,Wikipedia,,
Unit,,microsecond,µs,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000029,https://en.wikipedia.org/wiki/Microsecond,Wikipedia,,
Unit,,parts per trillion,ppt,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000171,https://en.wikipedia.org/wiki/Parts-per_notation,Wikipedia,,
Unit,,kilogram per meter,kg/m,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000184,,,,
Unit,,milligram per gram,mg/g,EXTERNAL,UO,http://purl.org/twc/HHEAR_00013,,,,
Unit,,liter per kilogram,l/kg,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000197,,,,
Unit,,picovolt,pV,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000251,https://en.wikipedia.org/wiki/Volt,Wikipedia,,
Unit,,siemens,1/AV,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000264,https://en.wikipedia.org/wiki/Siemens,Wikipedia,,
Unit,,ampere,A,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000011,https://en.wikipedia.org/wiki/Ampere,Wikipedia,,
Unit,,nanogram,ng,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000024,https://en.wikipedia.org/wiki/Orders_of_magnitude_(mass),Wikipedia,,
Unit,,milliampere,mA,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000037,https://en.wikipedia.org/wiki/Ampere,Wikipedia,,
Unit,,gigabyte,GB,EXTERNAL,UO,http://purl.obolibrary.org/obo/UO_0000331,https://en.wikipedia.org/wiki/Gigabyte,Wikipedia,,
